Q #,Scenario,,Question,,,Options,,,,,Correct Answer,,,,,,,,,,,Rationale,,,,,HIPAA Section,Workforce Group,,HIPAA Rule,,,,,,,HIPAA Topic Name,,,,,,,,,Description of Topic (OCR Audited Focus),,,,,
542,,Scenario: Physical Security Measures: A clinic is relocating its central server to a more secure room.,"NIST suggests that, if reasonable and appropriate, non-public areas should have:",,,,,A. Large windows for public transparency.B. Locks and cameras.C. A posted directory of all patients.D. Shared passwords for all maintenance staff.,,,,,,,B. Locks and cameras.,,,NIST suggests using locks and cameras for non-public areas containing ePHI.,,,,,,,§ 164.310(a)(1),,,"Management, IT Staff",,,,,,Security Rule,,,,Facility access controls,,,,,,Typical physical security measures for non-public areas.,,,,,,,
543,,Scenario: Workstation Use and Surroundings: A nurse uses a tablet computer to access patient charts in a busy waiting area.,"The ""Workstation Use"" standard requires policies to specify ""physical attributes of the surroundings"" to specifically:",,,,,A. Improve internet speed.B. Prevent unauthorized persons from viewing sensitive information.C. Ensure the workstation is within reach of the Security Official.D. Match the organization's color scheme.,,,,,,,B. Prevent unauthorized persons from viewing sensitive information.,,,Workstation use policies should limit the ability of unauthorized persons to view sensitive info.,,,,,,,§ 164.310(b),,,All Staff,,,,,,Security Rule,,,,Workstation use,,,,,,Analyzing surroundings to prevent unauthorized viewing.,,,,,,,
544,,Scenario: Mobile Workstation Security: Clinicians carry laptops from room to room to document care.,Which of the following is a physical safeguard specifically suggested by NIST for mobile environments?,,,,,A. Automatic data backups every 3 years.B. Use of physical privacy screens.C. De-identifying all data before documention.D. Allowing only clergy to touch the device.,,,,,,,B. Use of physical privacy screens.,,,NIST suggests physical privacy screens and anti-theft devices for workstations in mobile environments.,,,,,,,§ 164.310(c),,,"All Staff, Clinical",,,,,,Security Rule,,,,Workstation security,,,,,,Physical safeguards for mobile workstations.,,,,,,,
545,,Scenario: Media Sanitization: The IT department is disposing of a stack of old hard drives.,"Before disposal, the hard drives should be ""sanitized"" according to which standard (specifically mentioned in the sources)?",,,,,A. The HIPAA Privacy Rule.B. NIST SP 800-88.C. The HITECH Act.D. The Sarbanes-Oxley Act.,,,,,,,B. NIST SP 800-88.,,,NIST specifically references its own SP 800-88 for media sanitization before disposal.,,,,,,,§ 164.310(d)(2)(i),,,IT Staff,,,,,,Security Rule,,,,Device and media controls,,,,,,Sanitization of media in accordance with NIST guidance.,,,,,,,
546,,"Scenario: Modern Access Control: A health tech startup is implementing ""Zero Trust"" architecture for its cloud environment.","NIST suggests that ""Zero Trust Architecture"" focuses defenses on:",,,,,"A. The network perimeter firewall only.B. Users, assets, and resources rather than static network boundaries.C. The organization's physical lobby.D. The presence of business associate agreements.",,,,,,,"B. Users, assets, and resources rather than static network boundaries.",,,"Zero Trust moves defenses away from static perimeters to focus on users, assets, and resources.",,,,,,,§ 164.312(a)(1),,,IT Staff,,,,,,Security Rule,,,,Technical access control,,,,,,Use of Zero Trust principles in access control.,,,,,,,
547,,Scenario: Workstation Access Control: A physician leaves her computer unattended to attend to a patient emergency.,The technical procedure to terminate an electronic session after a predetermined time of inactivity is:,,,,,A. Unique user identification.B. Automatic logoff.C. Integrity control.D. Emergency access procedure.,,,,,,,B. Automatic logoff.,,,Automatic logoff implements procedures to terminate a session after a predetermined period of inactivity.,,,,,,,§ 164.312(a)(2)(iii),,,IT Staff,,,,,,Security Rule,,,,Technical access control,,,,,,Implementation of automatic logoff features.,,,,,,,
548,,Scenario: Transmission Integrity: The IT team is configuring a system to send ePHI to a remote specialty clinic.,"""Integrity Controls"" under Transmission Security specifically require security measures to:",,,,,A. Encrypt the data using AES-256.B. Ensure ePHI is not improperly modified without detection.C. Limit the disclosure to first-degree relatives.D. Maintain the data for 50 years after death.,,,,,,,B. Ensure ePHI is not improperly modified without detection.,,,Integrity controls (Addressable) ensure transmitted ePHI is not improperly modified without detection.,,,,,,,§ 164.312(e)(2)(i),,,IT Staff,,,,,,Security Rule,,,,Transmission security,,,,,,Measures to ensure transmitted data integrity.,,,,,,,
549,,Scenario: Authentication Factors: The organization is requiring staff to use their fingerprint to access the pharmaceutical storage system.,"According to the NIST guidance, a fingerprint is which approach to authentication?",,,,,A. Something you know.B. Something you have.C. Something you are (biometric identification).D. Something you like.,,,,,,,C. Something you are (biometric identification).,,,"Biometric identification, such as a fingerprint, is classified as the ""something you are"" approach.",,,,,,,NIST SP 800-66r2,,,"IT Staff, All Staff",,,,,,Security Rule,,,,Person/entity authentication,,,,,,Approach types for authentication.,,,,,,,
550,,Scenario: Secure Email Transmissions: The Security Official wants to protect ePHI that leaves the organization via email.,NIST suggests that organizations consider using which of the following for email leaving the organization?,,,,,A. Standard non-encrypted SMTP.B. Automated confidentiality statements and encryption.C. No subject lines.D. Only de-identified data.,,,,,,,B. Automated confidentiality statements and encryption.,,,NIST suggests considering automated confidentiality statements and encryption for external email.,,,,,,,§ 164.312(e)(2)(ii),,,"IT Staff, All Staff",,,,,,Security Rule,,,,Transmission security,,,,,,Use of automated confidentiality statements and encryption for email.,,,,,,,
551,,Scenario: Rebutting the Presumption of Breach: A hospital employee accidentally sends a spreadsheet containing PHI for 50 patients to the wrong internal department. The recipient immediately notifies the sender and deletes the email without opening the attachment.,"Under the Breach Notification Rule, an impermissible use or disclosure is presumed to be a breach unless the entity demonstrates:",,,A. No financial loss occurred.B. A low probability that the PHI has been compromised.C. The employee was properly trained.D. The Secretary grants a waiver.,,,,,,,,B. A low probability that the PHI has been compromised.,,,"An acquisition, access, use, or disclosure of PHI in a non-permitted manner is presumed to be a breach unless the entity demonstrates a low probability that the PHI has been compromised.",,,,,,,,§ 164.402(2),,,"Management, IT/Security",,,,,,,Breach Notification Rule,,,,Breach risk assessment,,,Required four-factor risk assessment to determine probability that PHI has been compromised.,,,,,,,,,
552,,Scenario: Rebutting the Presumption of Breach: A hospital employee accidentally sends a spreadsheet containing PHI for 50 patients to the wrong internal department. The recipient immediately notifies the sender and deletes the email without opening the attachment.,Which of the following is one of the four REQUIRED factors to consider in a breach risk assessment?,,,A. The annual revenue of the covered entity.B. Whether the PHI was actually acquired or viewed.C. The length of time since the last risk analysis.D. The presence of a Business Associate Agreement.,,,,,,,,B. Whether the PHI was actually acquired or viewed.,,,"The risk assessment must consider: (i) nature/extent of PHI, (ii) unauthorised person, (iii) whether PHI was actually acquired or viewed, and (iv) the extent of mitigation.",,,,,,,,§ 164.402(2)(iii),,,"Management, IT/Security",,,,,,,Breach Notification Rule,,,,Breach risk assessment,,,Factor-based assessment of breach probability.,,,,,,,,,
553,,Scenario: Rebutting the Presumption of Breach: A hospital employee accidentally sends a spreadsheet containing PHI for 50 patients to the wrong internal department. The recipient immediately notifies the sender and deletes the email without opening the attachment.,"If the entity determines there is a low probability of compromise, they must maintain documentation of the assessment for:",,,A. 1 year.B. 3 years.C. 6 years.D. 10 years.,,,,,,,,C. 6 years.,,,Regulated entities must maintain documentation required by the HIPAA Rules for six years from creation or when last in effect.,,,,,,,,§ 164.530(j)(2),,,"Management, Admin",,,,,,,Breach Notification Rule,,,,Breach administrative requirements,,,Application of documentation requirements to breach notification activities.,,,,,,,,,
554,,Scenario: Rebutting the Presumption of Breach: A hospital employee accidentally sends a spreadsheet containing PHI for 50 patients to the wrong internal department. The recipient immediately notifies the sender and deletes the email without opening the attachment.,"The factor ""Nature and extent of the PHI involved"" in a risk assessment specifically includes looking at:",,,A. The cost of the records.B. Types of identifiers and the likelihood of re-identification.C. The server's IP address.D. The employee's previous sanction history.,,,,,,,,B. Types of identifiers and the likelihood of re-identification.,,,The nature and extent of the PHI includes the types of identifiers and the likelihood of re-identification.,,,,,,,,§ 164.402(2)(i),,,"Management, IT/Security",,,,,,,Breach Notification Rule,,,,Breach risk assessment,,,Analyzing the data involved to determine risk.,,,,,,,,,
555,,Scenario: Rebutting the Presumption of Breach: A hospital employee accidentally sends a spreadsheet containing PHI for 50 patients to the wrong internal department. The recipient immediately notifies the sender and deletes the email without opening the attachment.,"If the risk assessment determines that the PHI WAS compromised, notification to the individuals must be provided:",,,A. Within 30 days of the incident.B. Within 60 calendar days after discovery of the breach.C. Only if the breach affects 500+ residents.D. After the media has been notified.,,,,,,,,B. Within 60 calendar days after discovery of the breach.,,,Notification must be provided without unreasonable delay and in no case later than 60 calendar days after discovery.,,,,,,,,§ 164.404(b),,,"Admin Staff, Management",,,,,,,Breach Notification Rule,,,,Timeliness of individual notice,,,Requirement to provide notice without unreasonable delay.,,,,,,,,,
556,,"Scenario: Access Format Requests: A patient, Ms. Green, requests a copy of her medical records. She specifically asks for them in a specific digital format (e.g., an Excel file) that the hospital’s EHR system cannot produce.","According to the Right of Access standard, if the PHI is not readily producible in the format requested, the entity must provide it in:",,,A. Hard copy only.B. A readable electronic form and format as agreed to by the entity and individual.C. Any format the entity finds convenient.D. A summary only.,,,,,,,,B. A readable electronic form and format as agreed to by the entity and individual.,,,"If the requested electronic format is not readily producible, the entity must provide it in a readable electronic format as agreed upon.",,,,,,,,§ 164.524(c)(2)(ii),,,Admin Staff,,,,,,,Privacy Rule,,,,Right of access to PHI,,,Individual right to obtain copies in requested form/format.,,,,,,,,,
557,,"Scenario: Access Format Requests: A patient, Ms. Green, requests a copy of her medical records. She specifically asks for them in a specific digital format (e.g., an Excel file) that the hospital’s EHR system cannot produce.",Can the hospital provide Ms. Green with a SUMMARY of her records instead of the full copy?,,,"A. Yes, at the hospital's discretion.B. No, patients always have a right to the full record.C. Yes, if the individual agrees in advance to the summary and the associated fees.D. Only if the original records were destroyed.",,,,,,,,"C. Yes, if the individual agrees in advance to the summary and the associated fees.",,,A covered entity may provide a summary if the individual agrees in advance to the summary and the fees.,,,,,,,,§ 164.524(c)(2)(iii),,,Admin Staff,,,,,,,Privacy Rule,,,,Right of access to PHI,,,Conditions for providing summaries or explanations.,,,,,,,,,
558,,"Scenario: Access Format Requests: A patient, Ms. Green, requests a copy of her medical records. She specifically asks for them in a specific digital format (e.g., an Excel file) that the hospital’s EHR system cannot produce.","When calculating the ""reasonable, cost-based fee"" for providing the copy, the hospital may include the cost of:",,,A. Labor for reviewing the records for accuracy.B. Labor for copying the PHI (paper or electronic).C. Administrative overhead for the privacy office.D. The cost of the EHR software license.,,,,,,,,B. Labor for copying the PHI (paper or electronic).,,,"Fees are limited to labor for copying, supplies for creating the copy/media, postage, and preparing a summary if agreed.",,,,,,,,§ 164.524(c)(4),,,Admin Staff,,,,,,,Privacy Rule,,,,Right of access to PHI,,,Fee limitations for providing access.,,,,,,,,,
559,,"Scenario: Access Format Requests: A patient, Ms. Green, requests a copy of her medical records. She specifically asks for them in a specific digital format (e.g., an Excel file) that the hospital’s EHR system cannot produce.","If the hospital denies access to a portion of the records (e.g., psychotherapy notes), what is their responsibility regarding the remaining records?",,,A. Deny the entire request.B. Give the individual access to any other PHI requested after excluding the denied portion.C. Delete the denied portion and send the rest without explanation.D. Report the request to law enforcement.,,,,,,,,B. Give the individual access to any other PHI requested after excluding the denied portion.,,,"The entity must, to the extent possible, give the individual access to any other PHI requested after excluding the information for which there is a ground to deny access.",,,,,,,,§ 164.524(d)(1),,,"Admin Staff, Clinical",,,,,,,Privacy Rule,,,,Right of access to PHI,,,Duty to make non-excluded information accessible.,,,,,,,,,
560,,"Scenario: Access Format Requests: A patient, Ms. Green, requests a copy of her medical records. She specifically asks for them in a specific digital format (e.g., an Excel file) that the hospital’s EHR system cannot produce.",A written denial of access must contain a description of how the individual may complain to the CE or the:,,,A. Better Business Bureau.B. Secretary of HHS.C. Local police department.D. Individual's insurance provider.,,,,,,,,B. Secretary of HHS.,,,Denials must include a description of how to complain to the CE or the Secretary.,,,,,,,,§ 164.524(d)(2)(iii),,,"Admin Staff, Management",,,,,,,Privacy Rule,,,,Denial of access and review,,,Required elements of a written denial.,,,,,,,,,
561,,"Scenario: Amendment Disagreements: A patient requests an amendment to his record, which the clinic denies because the information is accurate. The patient then submits a ""Statement of Disagreement.""","Upon receiving the Statement of Disagreement, the covered entity:",,,A. Must delete the original record.B. May prepare a written rebuttal and must provide the individual a copy.C. Must report the patient to the Secretary.D. Is not required to take further action.,,,,,,,,B. May prepare a written rebuttal and must provide the individual a copy.,,,"The entity may prepare a rebuttal and, if so, must provide a copy to the individual.",,,,,,,,§ 164.526(d)(3),,,Admin Staff,,,,,,,Privacy Rule,,,,Amendment of PHI,,,Handling disagreements and rebuttals.,,,,,,,,,
562,,"Scenario: Amendment Disagreements: A patient requests an amendment to his record, which the clinic denies because the information is accurate. The patient then submits a ""Statement of Disagreement.""","For all FUTURE disclosures of the record in question, the covered entity MUST:",,,A. Include only the original record.B. Include the statement of disagreement and the rebuttal (or accurate summaries).C. Redact the disputed portion entirely.D. Charge a higher fee for the disclosure.,,,,,,,,B. Include the statement of disagreement and the rebuttal (or accurate summaries).,,,"The entity must include the material appended (disagreement, rebuttal, etc.) or an accurate summary with subsequent disclosures.",,,,,,,,§ 164.526(d)(5)(i),,,Admin Staff,,,,,,,Privacy Rule,,,,Amendment of PHI,,,Requirements for future disclosures of disputed records.,,,,,,,,,
563,,"Scenario: Amendment Disagreements: A patient requests an amendment to his record, which the clinic denies because the information is accurate. The patient then submits a ""Statement of Disagreement.""","If a covered entity is informed by another covered entity of an amendment to an individual’s PHI, they must:",,,A. Ignore it unless the patient requests it directly.B. Amend the PHI in their own designated record sets.C. Notify the Secretary of the change.D. Verify the change with the patient's employer.,,,,,,,,B. Amend the PHI in their own designated record sets.,,,An entity informed by another of an amendment must amend the PHI in its own records.,,,,,,,,§ 164.526(e),,,Admin Staff,,,,,,,Privacy Rule,,,,Amendment of PHI,,,Actions on notices of amendment from other entities.,,,,,,,,,
564,,"Scenario: Amendment Disagreements: A patient requests an amendment to his record, which the clinic denies because the information is accurate. The patient then submits a ""Statement of Disagreement.""",A covered entity must document the titles of the persons or offices responsible for processing amendment requests and retain this for:,,,A. 2 years.B. 6 years.C. 10 years.D. 50 years.,,,,,,,,B. 6 years.,,,Entities must document titles for amendment processing and retain documentation for six years.,,,,,,,,§ 164.526(f),,,"Management, Admin",,,,,,,Privacy Rule,,,,Amendment of PHI,,,Documentation and retention of amendment procedures.,,,,,,,,,
565,,"Scenario: Amendment Disagreements: A patient requests an amendment to his record, which the clinic denies because the information is accurate. The patient then submits a ""Statement of Disagreement.""","An amendment request may be denied if the record was NOT created by the covered entity, EXCEPT if:",,,A. The patient pays a fee for the review.B. The individual provides a reasonable basis to believe the originator is no longer available.C. The clinician agrees the information is wrong.D. The record is more than 6 years old.,,,,,,,,B. The individual provides a reasonable basis to believe the originator is no longer available.,,,A CE may deny if they didn't create the PHI unless the individual provides a basis to believe the originator is no longer available.,,,,,,,,§ 164.526(a)(2)(i),,,"Admin Staff, Clinical",,,,,,,Privacy Rule,,,,Amendment of PHI,,,Grounds for denying amendment requests.,,,,,,,,,
566,,Scenario: Accounting of Disclosures: A patient requests a list of all disclosures of his health data. The clinic must identify which disclosures must be included.,Which of the following is an EXCEPTION where a disclosure does NOT need to be included in the accounting?,,,A. Disclosures for public health activities.B. Disclosures to the individual of PHI about them.C. Disclosures to a coroner or medical examiner.D. Disclosures required by law.,,,,,,,,B. Disclosures to the individual of PHI about them.,,,Disclosures to individuals of PHI about them are excluded from the accounting requirement.,,,,,,,,§ 164.528(a)(1)(ii),,,Admin Staff,,,,,,,Privacy Rule,,,,Accounting of disclosures,,,List of excluded disclosures from the accounting.,,,,,,,,,
567,,Scenario: Accounting of Disclosures: A patient requests a list of all disclosures of his health data. The clinic must identify which disclosures must be included.,Disclosures made for which purpose are also EXCLUDED from the accounting requirement?,,,A. Research where a waiver was approved.B. National security or intelligence purposes.C. Victims of abuse or neglect.D. Oversight of the healthcare system.,,,,,,,,B. National security or intelligence purposes.,,,Disclosures for national security or intelligence purposes are excluded from the accounting.,,,,,,,,§ 164.528(a)(1)(vi),,,"Admin Staff, Management",,,,,,,Privacy Rule,,,,Accounting of disclosures,,,Exclusions for national security disclosures.,,,,,,,,,
568,,Scenario: Accounting of Disclosures: A patient requests a list of all disclosures of his health data. The clinic must identify which disclosures must be included.,"If an entity provides an accounting for research disclosures involving 50+ individuals, they must provide the name of the protocol and:",,,A. A list of every patient's social security number.B. A statement that the PHI of the individual may or may not have been disclosed for that protocol.C. The exact date of every single data pull.D. A copy of the signed patient authorisation.,,,,,,,,B. A statement that the PHI of the individual may or may not have been disclosed for that protocol.,,,"For large research disclosures, the accounting must state the PHI may or may not have been disclosed for that protocol.",,,,,,,,§ 164.528(b)(4)(i)(F),,,"Admin Staff, Management",,,,,,,Privacy Rule,,,,Accounting of disclosures,,,Simplified accounting for large research disclosures.,,,,,,,,,
569,,Scenario: Accounting of Disclosures: A patient requests a list of all disclosures of his health data. The clinic must identify which disclosures must be included.,The covered entity must provide the first accounting in any 12-month period:,,,A. For a $50 fee.B. Without charge.C. Only if the patient has a valid reason.D. Within 15 days.,,,,,,,,B. Without charge.,,,The first accounting in any 12-month period is provided without charge.,,,,,,,,§ 164.528(c)(2),,,Admin Staff,,,,,,,Privacy Rule,,,,Accounting of disclosures,,,Fee rules for subsequent accounting requests.,,,,,,,,,
570,,Scenario: Accounting of Disclosures: A patient requests a list of all disclosures of his health data. The clinic must identify which disclosures must be included.,An individual may request an accounting of disclosures for a period of time:,,,A. No less than 1 year.B. Less than six years from the date of the request.C. Exactly 50 years after death.D. Determined by the Secretary.,,,,,,,,B. Less than six years from the date of the request.,,,An individual may request an accounting for a period of time less than six years.,,,,,,,,§ 164.528(a)(3),,,Admin Staff,,,,,,,Privacy Rule,,,,Accounting of disclosures,,,Individual right to define the accounting timeframe.,,,,,,,,,
571,,"Scenario: Risk Appetite and Strategy: Startup leadership is defining its ""Risk Appetite"" as part of a new enterprise risk management strategy to comply with the Security Rule.","According to NIST SP 800-66r2, ""Risk Appetite"" is declared at:",,,A. The IT Department level.B. The individual user level.C. The enterprise (highest) level of the organisation.D. The business associate's level.,,,,,,,,C. The enterprise (highest) level of the organisation.,,,Risk appetite is declared at the enterprise level and provides a guidepost to risk acceptance for senior leaders.,,,,,,,,NIST SP 800-66r2,,,Management/Leadership,,,,,,,Security Rule,,,,Security risk management,,,Strategic risk concepts for senior leadership.,,,,,,,,,
572,,"Scenario: Risk Appetite and Strategy: Startup leadership is defining its ""Risk Appetite"" as part of a new enterprise risk management strategy to comply with the Security Rule.","""Risk Tolerance"" differs from risk appetite because it represents:",,,A. The total cost of security software.B. The specific level of performance risk deemed acceptable within the risk appetite.C. The number of breaches per year.D. The length of a workstation session.,,,,,,,,B. The specific level of performance risk deemed acceptable within the risk appetite.,,,Risk tolerance represents the specific level of performance risk deemed acceptable within the appetite.,,,,,,,,NIST SP 800-66r2,,,Management/Leadership,,,,,,,Security Rule,,,,Security risk management,,,Definitions of risk appetite and risk tolerance.,,,,,,,,,
573,,"Scenario: Risk Appetite and Strategy: Startup leadership is defining its ""Risk Appetite"" as part of a new enterprise risk management strategy to comply with the Security Rule.","NIST states that ""risk appetite"" and ""risk tolerance"" together represent:",,,A. Technical safeguards.B. Risk limits that assist in managing risk to ePHI.C. Administrative simplification code sets.D. Unreviewable grounds for denial.,,,,,,,,B. Risk limits that assist in managing risk to ePHI.,,,"Together, these statements represent risk limits that assist entities in managing risk.",,,,,,,,NIST SP 800-66r2,,,Management/Leadership,,,,,,,Security Rule,,,,Security risk management,,,Strategic risk limits in managing ePHI security.,,,,,,,,,
574,,"Scenario: Risk Appetite and Strategy: Startup leadership is defining its ""Risk Appetite"" as part of a new enterprise risk management strategy to comply with the Security Rule.","If an unacceptable level of risk to ePHI cannot be adequately treated in a cost-effective manner, NIST suggests the risk should be:",,,"A. Accepted anyway to save money.B. Avoided, potentially by redesigning systems or processes.C. Ignored until an audit occurs.D. Disclosed in the Notice of Privacy Practices.",,,,,,,,"B. Avoided, potentially by redesigning systems or processes.",,,"If risk cannot be treated cost-effectively, it should be avoided, which may require redesigning processes.",,,,,,,,NIST SP 800-66r2,,,"Management, IT Staff",,,,,,,Security Rule,,,,Security risk management,,,Handling unacceptable risk through system redesign.,,,,,,,,,
575,,"Scenario: Risk Appetite and Strategy: Startup leadership is defining its ""Risk Appetite"" as part of a new enterprise risk management strategy to comply with the Security Rule.",The decision factors management must use when selecting security measures (Flexibility of Approach) include:,,,"A. Size, complexity, and capabilities of the entity.B. Costs of security measures.C. Technical infrastructure.D. All of the above.",,,,,,,,D. All of the above.,,,"Decisions on measures must consider size, complexity, infrastructure, costs, and probability/criticality of risks.",,,,,,,,§ 164.306(b)(2),,,Management/Leadership,,,,,,,Security Rule,,,,Security program – general duties,,,Factors in deciding appropriate security measures.,,,,,,,,,
576,,"Scenario: Security Incidents (NIST): An IT team is responding to a ""Security Incident"" and must determine which actions are required under the Response and Reporting implementation specification.","A ""Security Incident"" includes attempted or successful unauthorised access, use, or:",,,A. Any failure of a software patch.B. Interference with system operations in an information system.C. Use of a personal mobile device for work.D. A patient complaint about billing.,,,,,,,,B. Interference with system operations in an information system.,,,"A security incident means attempted/successful unauthorised access, use, disclosure, modification, or destruction of info or interference with system operations.",,,,,,,,§ 164.304,,,"IT Staff, All Staff",,,,,,,Security Rule,,,,Security incident procedures,,,Definition of security incident.,,,,,,,,,
577,,"Scenario: Security Incidents (NIST): An IT team is responding to a ""Security Incident"" and must determine which actions are required under the Response and Reporting implementation specification.","The ""Response and Reporting"" specification (Required) mandates that the entity must:",,,A. Terminate the employee responsible.B. Document security incidents and their outcomes.C. Notify the Secretary within 24 hours.D. Pay a fine to the individual.,,,,,,,,B. Document security incidents and their outcomes.,,,"Response and Reporting requires identifying/responding to incidents, mitigating harm, and documenting outcomes.",,,,,,,,§ 164.308(a)(6)(ii),,,"IT Staff, Management",,,,,,,Security Rule,,,,Security incident procedures,,,"Identifying, responding to, and documenting incidents.",,,,,,,,,
578,,"Scenario: Security Incidents (NIST): An IT team is responding to a ""Security Incident"" and must determine which actions are required under the Response and Reporting implementation specification.",NIST suggests that incident response programs should cover:,,,"A. Only the data center.B. All parts of the organisation in which ePHI is created, stored, processed, or transmitted.C. Only business associates.D. Only servers containing 500+ records.",,,,,,,,"B. All parts of the organisation in which ePHI is created, stored, processed, or transmitted.",,,"Incident response should cover all parts of the organisation where ePHI is created, stored, processed, or transmitted.",,,,,,,,NIST SP 800-66r2,,,"IT Staff, All Staff",,,,,,,Security Rule,,,,Security incident procedures,,,Scope of incident response programs.,,,,,,,,,
579,,"Scenario: Security Incidents (NIST): An IT team is responding to a ""Security Incident"" and must determine which actions are required under the Response and Reporting implementation specification.","Following an incident, NIST recommends a ""Post-Incident Analysis"" to:",,,A. Improve security controls and incorporate lessons learned.B. Calculate civil money penalties.C. Determine marketing opportunities.D. Update the list of NPIs.,,,,,,,,A. Improve security controls and incorporate lessons learned.,,,Post-incident analysis should be used to improve controls and incorporate lessons learned into updates.,,,,,,,,NIST SP 800-66r2,,,"IT Staff, Management",,,,,,,Security Rule,,,,Security incident procedures,,,Using incident findings for security improvements.,,,,,,,,,
580,,"Scenario: Security Incidents (NIST): An IT team is responding to a ""Security Incident"" and must determine which actions are required under the Response and Reporting implementation specification.","If an incident involves an ""Inadvertent disclosure by an authorised person to another authorised person"" at the same CE, it is:",,,A. A major breach requiring media notice.B. Excluded from the definition of a breach.C. A criminal violation of HIPAA.D. A ground for unreviewable denial.,,,,,,,,B. Excluded from the definition of a breach.,,,Breach excludes inadvertent disclosure by an authorised person to another authorised person at the same entity/BA/OHCA.,,,,,,,,§ 164.402(1)(ii),,,"All Staff, IT Staff",,,,,,,Breach Notification Rule,,,,Breach definition and exceptions,,,Regulatory exceptions to the definition of breach.,,,,,,,,,
581,,"Scenario: Data Criticality Analysis: The Security Official is evaluating the ""Applications and Data Criticality Analysis"" addressable specification to support contingency planning.",The goal of this analysis is to assess the relative criticality of specific applications and data:,,,A. To determine software licensing costs.B. In support of other contingency plan components.C. To decide which employees to retain.D. To assign NPI numbers to subparts.,,,,,,,,B. In support of other contingency plan components.,,,This analysis assesses relative criticality in support of other plan components (like backup and recovery).,,,,,,,,§ 164.308(a)(7)(ii)(E),,,"IT Staff, Management",,,,,,,Security Rule,,,,Contingency planning,,,Assessing relative criticality of ePHI systems.,,,,,,,,,
582,,"Scenario: Data Criticality Analysis: The Security Official is evaluating the ""Applications and Data Criticality Analysis"" addressable specification to support contingency planning.",Criticality levels should be assessed based on importance to:,,,A. Annual revenue.B. Business needs or patient care.C. The Security Official's preferences.D. Future de-identification efforts.,,,,,,,,B. Business needs or patient care.,,,Critically levels are assessed based on importance to business needs or patient care.,,,,,,,,Audit Protocol,,,"IT Staff, Management",,,,,,,Security Rule,,,,Contingency planning,,,Performance criteria for data criticality analysis.,,,,,,,,,
583,,"Scenario: Data Criticality Analysis: The Security Official is evaluating the ""Applications and Data Criticality Analysis"" addressable specification to support contingency planning.","NIST suggests using a ""Business Impact Analysis"" (BIA) to:",,,"A. Calculate Civil Money Penalties.B. Evaluate, record, and monitor the criticality of organizational assets.C. Track the movements of hardware devices.D. Verify the religious affiliation of clergy.",,,,,,,,"B. Evaluate, record, and monitor the criticality of organizational assets.",,,"A BIA helps evaluate, record, and monitor asset criticality and informs risk tolerance.",,,,,,,,NIST SP 800-66r2,,,"Management, IT Staff",,,,,,,Security Rule,,,,Contingency planning,,,Use of BIA in security strategy.,,,,,,,,,
584,,"Scenario: Data Criticality Analysis: The Security Official is evaluating the ""Applications and Data Criticality Analysis"" addressable specification to support contingency planning.",Which standard requires establishing procedures to ENABLE continuation of critical business processes in an emergency?,,,A. Data Backup Plan.B. Disaster Recovery Plan.C. Emergency Mode Operation Plan.D. Sanction Policy.,,,,,,,,C. Emergency Mode Operation Plan.,,,This required plan involves procedures to enable continuation of critical processes to protect ePHI security in emergency mode.,,,,,,,,§ 164.308(a)(7)(ii)(C),,,"IT Staff, Management",,,,,,,Security Rule,,,,Contingency planning,,,Continuation of critical processes during emergencies.,,,,,,,,,
585,,"Scenario: Data Criticality Analysis: The Security Official is evaluating the ""Applications and Data Criticality Analysis"" addressable specification to support contingency planning.",The Data Backup Plan standard (Required) mandates creating and maintaining:,,,A. Paper copies of all charts.B. Retrievable exact copies of electronic PHI.C. Summaries of all patient histories.D. Off-site cloud archives for 50 years.,,,,,,,,B. Retrievable exact copies of electronic PHI.,,,Data Backup Plan requires procedures to create/maintain retrievable exact copies of ePHI.,,,,,,,,§ 164.308(a)(7)(ii)(A),,,IT Staff,,,,,,,Security Rule,,,,Contingency planning,,,Requirement for exact data copies.,,,,,,,,,
586,,"Scenario: Workforce Clearance: The HR department is implementing the ""Workforce Clearance Procedure"" addressable specification for new clinical hires.",This procedure is designed to determine that the access of a workforce member to ePHI is:,,,A. Profitable for the organization.B. Appropriate.C. Perpetual.D. Approved by the patient.,,,,,,,,B. Appropriate.,,,Workforce Clearance Procedure implements procedures to determine that a workforce member's access to ePHI is appropriate.,,,,,,,,§ 164.308(a)(3)(ii)(B),,,"Management, Admin",,,,,,,Security Rule,,,,Workforce security,,,Procedures to ensure appropriate access.,,,,,,,,,
587,,"Scenario: Workforce Clearance: The HR department is implementing the ""Workforce Clearance Procedure"" addressable specification for new clinical hires.","NIST recommends that ""Least Privilege"" involves ensuring workforce members operate at privilege levels:",,,A. High enough to access all records.B. No higher than necessary to accomplish required job duties.C. Determined by the individual employee.D. That allow viewing of psychotherapy notes.,,,,,,,,B. No higher than necessary to accomplish required job duties.,,,Least privilege means ensuring workforce operates at privilege levels no higher than necessary.,,,,,,,,NIST SP 800-66r2,,,"IT Staff, Management",,,,,,,Security Rule,,,,Workforce security,,,Enforcement of least privilege in access management.,,,,,,,,,
